gutenberg_id,text,title
1513,"Not having that which, having, makes them short.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,In love?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,"Out,--",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,Of love?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,Out of her favour where I am in love.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"Alas, that love, so gentle in his view,",Romeo and Juliet
1513,Should be so tyrannous and rough in proof!,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,"Alas that love, whose view is muffled still,",Romeo and Juliet
1513,"Should, without eyes, see pathways to his will!--",Romeo and Juliet
1513,Where shall we dine?--O me!--What fray was here?,Romeo and Juliet
1513,"Yet tell me not, for I have heard it all.",Romeo and Juliet
1513,"Here's much to do with hate, but more with love:--",Romeo and Juliet
1513,"Why, then, O brawling love! O loving hate!",Romeo and Juliet
1513,"O anything, of nothing first create!",Romeo and Juliet
1513,O heavy lightness! serious vanity!,Romeo and Juliet
1513,Mis-shapen chaos of well-seeming forms!,Romeo and Juliet
1513,"Feather of lead, bright smoke, cold fire, sick health!",Romeo and Juliet
1513,"Still-waking sleep, that is not what it is!--",Romeo and Juliet
1513,"This love feel I, that feel no love in this.",Romeo and Juliet
1513,Dost thou not laugh?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"No, coz, I rather weep.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,"Good heart, at what?",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,At thy good heart's oppression.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,"Why, such is love's transgression.--",Romeo and Juliet
1513,Griefs of mine own lie heavy in my breast;,Romeo and Juliet
1513,"Which thou wilt propagate, to have it prest",Romeo and Juliet
1513,With more of thine: this love that thou hast shown,Romeo and Juliet
1513,Doth add more grief to too much of mine own.,Romeo and Juliet
1513,Love is a smoke rais'd with the fume of sighs;,Romeo and Juliet
1513,"Being purg'd, a fire sparkling in lovers' eyes;",Romeo and Juliet
